date_only,0,1,2,3,4,5
1-Jun,36,35,1,239,127,14
2-Jun,34,34,1,251,122,17
3-Jun,39,37,2,231,111,16
4-Jun,43,42,2,220,98,22
5-Jun,42,39,2,187,106,14
6-Jun,29,44,,140,113,14
7-Jun,30,42,1,182,125,15
8-Jun,33,44,1,161,84,17
9-Jun,38,39,2,211,126,15
10-Jun,32,42,2,208,79,15
11-Jun,39,37,2,208,100,13
12-Jun,33,40,1,196,114,17
13-Jun,33,35,1,192,82,15
14-Jun,23,37,2,190,69,13
15-Jun,24,45,2,212,114,10
16-Jun,38,40,2,218,98,11
17-Jun,40,47,2,166,76,16
18-Jun,41,37,1,213,99,13
19-Jun,35,36,,136,82,18
20-Jun,33,40,1,159,99,18
21-Jun,23,38,,147,83,11
22-Jun,27,39,2,170,118,14
23-Jun,26,57,1,222,123,14
24-Jun,30,44,2,175,114,9
25-Jun,28,35,,179,86,11
26-Jun,28,37,,185,104,12
27-Jun,22,30,2,142,106,8
28-Jun,17,43,1,132,92,11
29-Jun,28,24,,145,61,12
30-Jun,30,32,1,147,101,14
1-Jul,19,29,2,170,76,10
2-Jul,29,28,1,121,60,22
3-Jul,27,49,1,143,95,13
4-Jul,32,31,,107,121,11
5-Jul,50,35,,137,102,12
6-Jul,45,46,1,163,85,11
7-Jul,32,47,1,171,99,9
8-Jul,44,41,1,135,87,14
9-Jul,25,36,2,141,68,14
10-Jul,29,44,1,138,105,19
11-Jul,40,44,,173,92,21
12-Jul,45,47,,143,103,14
13-Jul,41,42,,147,96,11
14-Jul,26,43,2,210,103,21
15-Jul,31,39,,182,91,25
16-Jul,23,39,,188,126,20
17-Jul,28,38,,175,125,19
18-Jul,21,33,,138,86,10
19-Jul,43,47,1,98,97,9
20-Jul,34,44,1,166,142,11
21-Jul,26,38,1,115,96,9
22-Jul,7,38,,112,58,16
23-Jul,22,40,,105,83,10
24-Jul,19,43,3,150,104,10
25-Jul,18,73,,150,104,13
26-Jul,24,36,,142,89,5
27-Jul,31,39,1,88,71,1
28-Jul,14,53,,89,99,7
29-Jul,14,37,,73,121,2
30-Jul,15,38,,58,81,4
31-Jul,49,25,,127,137,22
1-Aug,48,34,,103,86,13
2-Aug,37,33,2,113,97,15
3-Aug,37,34,1,109,86,5
4-Aug,21,32,1,101,77,10
5-Aug,15,16,,101,80,2
6-Aug,44,38,2,167,91,13
7-Aug,40,42,2,157,119,12
8-Aug,26,41,1,109,97,10
9-Aug,38,42,1,102,110,16
10-Aug,44,43,1,161,143,14
11-Aug,55,41,2,164,113,12
12-Aug,63,47,2,135,98,15
13-Aug,50,40,3,152,110,15
14-Aug,53,41,2,165,133,12
15-Aug,55,41,2,183,116,14
16-Aug,53,32,1,176,87,6
17-Aug,45,32,1,148,87,11
18-Aug,48,36,2,166,82,10
19-Aug,50,34,2,120,118,12
20-Aug,57,31,1,120,64,5
21-Aug,48,39,,130,76,6
22-Aug,40,33,1,125,77,24
23-Aug,27,29,2,125,105,21
24-Aug,42,30,1,154,129,19
25-Aug,69,34,1,154,110,14
26-Aug,26,44,,177,104,17
27-Aug,55,34,1,141,118,10
28-Aug,57,37,2,127,98,12
29-Aug,50,39,2,143,100,13
30-Aug,32,34,,182,87,17
31-Aug,52,30,1,122,86,13
1-Sep,57,34,,147,127,22
2-Sep,49,40,1,151,116,16
3-Sep,36,38,1,130,99,16
4-Sep,49,31,1,143,131,14
5-Sep,63,38,,163,101,13
6-Sep,42,28,1,178,115,11
7-Sep,64,30,1,146,84,16
8-Sep,65,29,1,154,127,12
9-Sep,79,37,1,160,101,8
10-Sep,82,27,1,167,104,12
11-Sep,46,36,1,111,80,3
12-Sep,47,33,,122,78,13
13-Sep,36,39,1,144,78,11
14-Sep,38,23,2,163,105,11
15-Sep,71,22,2,148,80,13
16-Sep,67,28,1,119,94,16
17-Sep,64,27,1,124,87,19
18-Sep,89,34,2,149,72,18
19-Sep,81,38,2,156,79,12
20-Sep,75,37,1,172,114,12
21-Sep,84,38,2,148,84,11
22-Sep,71,39,2,175,106,8
23-Sep,69,37,1,142,107,20
24-Sep,84,37,1,145,88,15
25-Sep,44,32,2,183,148,23
26-Sep,71,29,,189,140,8
27-Sep,83,26,6,157,89,13
28-Sep,54,27,2,101,79,12
29-Sep,48,26,2,109,86,13
30-Sep,60,32,1,202,133,13
1-Oct,113,36,2,205,79,13
2-Oct,118,39,,166,114,13
3-Oct,39,38,2,122,100,13
4-Oct,85,29,1,135,106,12
5-Oct,57,38,,136,92,8
6-Oct,59,32,1,195,124,17
7-Oct,83,37,1,195,121,11
8-Oct,58,32,2,171,108,13
9-Oct,87,38,2,173,123,14
10-Oct,111,42,1,161,107,14
11-Oct,72,30,1,178,102,13
12-Oct,93,41,2,203,112,14
13-Oct,76,41,1,171,105,12
14-Oct,80,31,1,142,104,13
15-Oct,73,14,,136,102,9
16-Oct,39,27,2,180,118,9
17-Oct,86,34,2,188,103,17
18-Oct,104,33,1,195,105,14
19-Oct,85,24,1,159,81,15
20-Oct,67,31,2,108,84,19
21-Oct,91,34,3,180,107,12
22-Oct,93,37,2,222,103,11
23-Oct,123,33,2,186,118,11
24-Oct,113,36,1,203,127,17
25-Oct,119,33,1,153,101,9
26-Oct,144,27,1,100,89,5
27-Oct,96,28,,105,91,8
28-Oct,59,25,1,121,95,15
29-Oct,38,30,,128,97,6
30-Oct,97,30,1,108,88,3
31-Oct,133,37,2,98,98,5
1-Nov,55,37,2,143,91,7
2-Nov,61,27,1,123,92,9
3-Nov,63,29,2,137,139,4
4-Nov,64,29,1,132,95,6
5-Nov,77,28,1,158,93,7
6-Nov,75,44,1,180,106,5
7-Nov,98,36,1,209,110,7
8-Nov,113,35,2,206,102,12
9-Nov,92,36,2,231,126,10
10-Nov,83,33,1,178,120,8
11-Nov,74,25,2,168,100,7
12-Nov,75,26,2,239,115,8
13-Nov,78,27,2,192,94,13
14-Nov,61,40,2,212,120,11
15-Nov,49,27,2,188,119,5
16-Nov,62,24,1,189,66,4
17-Nov,38,30,2,200,103,9
18-Nov,61,25,2,175,78,11
19-Nov,42,26,2,198,90,6
20-Nov,29,21,1,207,110,5
21-Nov,41,31,1,177,99,11
22-Nov,58,30,1,184,101,8
23-Nov,45,24,1,147,103,4
24-Nov,47,19,2,151,90,5
25-Nov,56,17,1,137,87,4
26-Nov,44,19,1,151,87,4
27-Nov,51,20,2,141,53,8
28-Nov,44,18,1,95,65,5
29-Nov,61,18,2,115,75,9
30-Nov,53,21,2,136,75,6
1-Dec,40,15,1,148,64,5
2-Dec,35,20,1,147,47,8
3-Dec,53,23,1,169,74,6
4-Dec,52,18,1,161,62,6
5-Dec,65,21,2,183,61,6
6-Dec,55,20,2,177,62,8
7-Dec,47,19,2,156,59,10
8-Dec,61,23,2,180,68,5
9-Dec,46,15,1,195,81,9
10-Dec,66,20,2,230,56,6
11-Dec,55,16,1,210,78,11
12-Dec,48,19,2,159,56,5
13-Dec,62,18,2,143,45,4
14-Dec,66,11,2,116,51,3
15-Dec,79,15,2,146,58,4
16-Dec,76,20,2,162,56,3
17-Dec,35,10,3,137,36,4
18-Dec,37,12,1,113,35,2
19-Dec,31,11,1,123,44,5
20-Dec,46,11,1,131,33,2
21-Dec,46,16,1,170,46,2
22-Dec,77,13,1,130,46,3
23-Dec,34,11,1,83,23,2
24-Dec,22,11,1,60,19,
25-Dec,15,7,1,53,21,2
26-Dec,49,7,,83,25,7
27-Dec,18,6,1,87,25,6
28-Dec,67,8,,72,22,6
29-Dec,128,12,2,108,27,6
30-Dec,67,9,1,105,31,2
31-Dec,97,6,1,61,14,3
