Typhoon,Ave. Stm Speed (knot),Date Range,G0 Distance (km),G0 (Boat Diff%),G1 Distance (km),G1 (Boat Diff%),G2 Distance (km),G2 (Boat Diff%),G3 Distance (km),G3 (Boat Diff%),G4 Distance (km),G4 (Boat Diff%)
Ave Daily Boats,,,,44.0,,19.0,,2.0,,133.0,,58.0
Gaemi,8.68,2024-07-19 to 2024-07-23,1418.14,-100.0,1410.68,-61.76,1154.66,-100.0,736.1,-97.67,1300.98,500.0
Yagi,8.4,2024-09-01 to 2024-09-05,974.42,-21.43,1124.22,-85.29,780.66,-100.0,656.72,-98.84,1219.84,7000.0
Soulik,11.2,2024-09-15 to 2024-09-18,984.5,-100.0,1153.9,-94.12,798.75,-100.0,700.45,-96.51,1265.7,-100.0
Trami,10.12,2024-10-21 to 2024-10-25,1039.16,-70.0,1116.62,-97.06,815.48,-100.0,548.56,-90.7,1093.78,2400.0
Kong-Rey,8.72,2024-10-27 to 2024-10-31,1510.02,8.57,1544.88,-8.82,1256.64,-100.0,891.18,-36.05,1461.92,14700.0
Toraji,11.35,2024-11-09 to 2024-11-12,1104.7,-78.57,1174.42,-55.88,867.18,-100.0,594.62,8.14,1174.68,9900.0
Usagi,11.8,2024-11-13 to 2024-11-14,1127.25,-58.57,1191.1,23.53,873.15,-100.0,550.35,-74.42,1171.5,9300.0
Man-Yi,11.86,2024-11-15 to 2024-11-19,1003.64,-68.57,1101.84,-85.29,815.84,-100.0,615.22,-90.7,1124.84,2500.0
Pabuk,5.25,2024-12-21 to 2024-12-22,44.0,-100.0,383.05,-82.35,307.0,-100.0,808.8,-61.63,830.2,4500.0
